City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Huilong,31.8111,121.655,78.98,84,100,21.05,CN,1627077738
Marzuq,14.4,46.4667,68.04,83,100,6.17,YE,1627077739
Isangel,-19.55,169.2667,79.29,77,7,4.61,VU,1627077739
Am Timan,11.0297,20.2827,75.2,76,5,4.32,TD,1627077740
Tasiilaq,65.6145,-37.6368,41.16,99,100,4.5,GL,1627077740
Ugoofaaru,5.6667,73.0,82.35,77,88,12.62,MV,1627077613
Dolores,-36.3132,-57.6792,57.69,74,99,3.13,AR,1627077741
Nisibis,37.0778,41.2178,87.15,19,0,5.55,TR,1627077741
Roebourne,-20.7833,117.1333,68.52,40,6,11.65,AU,1627077742
Boyolangu,-8.1181,111.8935,72.72,86,63,3.67,ID,1627077742
Tigil',57.8,158.6667,59.27,81,100,4.76,RU,1627077742
Mount Isa,-20.7333,139.5,58.77,47,29,6.91,AU,1627077743
Bimbo,4.2567,18.4158,72.21,88,98,3.33,CF,1627077743
Half Moon Bay,37.4636,-122.4286,98.74,57,1,13.8,US,1627077600
Murray Bridge,-35.1167,139.2667,52.12,82,33,21.16,AU,1627077744
Maceió,-9.6658,-35.7353,76.44,73,0,5.75,BR,1627077670
Jiaocheng,24.6774,116.1389,75.99,96,29,2.08,CN,1627077745
Hamilton,39.1834,-84.5333,87.1,55,7,1.99,US,1627077681
Constitución,-35.3333,-72.4167,53.94,81,100,9.01,CL,1627077456
Montague,42.5356,-72.5351,79.29,78,88,3.24,US,1627077746
Ol'ga,43.7444,135.2892,79.25,80,3,0.56,RU,1627077746
Aleksandrov Gay,50.147,48.5704,68.16,49,49,8.12,RU,1627077746
Ocampo,21.65,-101.5,74.28,31,32,8.77,MX,1627077747
São Félix do Xingu,-6.6447,-51.995,79.93,39,10,1.57,BR,1627077747
Talnakh,69.4865,88.3972,60.58,72,100,21.7,RU,1627077484
Naro Moru,-0.1676,37.0213,57.33,84,77,8.32,KE,1627077748
Scarborough,54.2797,-0.4044,62.53,83,72,1.01,GB,1627077748
Kenai,60.5544,-151.2583,60.03,86,100,0.89,US,1627077749
Keminmaa,65.8596,24.8228,47.97,81,0,3.44,FI,1627077749
El Salvador,13.8333,-88.9167,88.05,55,72,2.68,SV,1627077750
Ahipara,-35.1667,173.1667,55.45,75,2,3.4,NZ,1627077750
Saint Anthony,45.0205,-93.218,91.33,51,1,9.22,US,1627077751
Longyan,25.1072,117.0225,73.45,95,30,2.89,CN,1627077751
Kirakira,-10.4544,161.9205,82.81,74,73,4.97,SB,1627077751
Lakes Entrance,-37.8811,147.981,41.18,81,98,6.17,AU,1627077752
Nikolskoye,59.7035,30.7861,60.03,63,95,3.67,RU,1627077523
Pangnirtung,66.1451,-65.7125,48.67,67,99,6.87,CA,1627077656
Zanjān,36.6736,48.4787,69.17,58,0,6.98,IR,1627077753
Svetlaya,46.5389,138.3297,73.13,86,71,0.67,RU,1627077753
Charlestown,-32.95,151.6667,57.94,81,68,3.0,AU,1627077754
Sitka,57.0531,-135.33,57.09,88,75,5.75,US,1627077754
Northam,51.0333,-4.2167,71.65,81,100,16.31,GB,1627077754
Cedar City,37.6775,-113.0619,81.39,44,86,10.27,US,1627077755
Tsabong,-26.0217,22.401,41.97,25,0,9.35,BW,1627077755
Chernyshevskiy,63.0128,112.4714,60.71,69,9,1.97,RU,1627077756
Mt. Pleasant,32.7941,-79.8626,88.3,77,1,1.01,US,1627077756
Talcahuano,-36.7167,-73.1167,54.57,74,100,4.23,CL,1627077757
Cabo San Lucas,22.8909,-109.9124,98.82,64,0,11.07,MX,1627077757
Nizhniy Kuranakh,58.8353,125.4869,63.16,99,100,2.19,RU,1627077758
Samarai,-10.6167,150.6667,80.33,85,70,8.55,PG,1627077663
Labuhan,-6.8844,112.2051,75.69,79,6,8.72,ID,1627077758
Aplahoué,6.9333,1.6833,72.61,84,32,7.67,BJ,1627077759
Gravdal,68.1214,13.5031,51.76,95,100,10.51,NO,1627077759
San Policarpo,12.1791,125.5072,81.66,72,100,12.5,PH,1627077759
Gornopravdinsk,60.05,69.9,56.03,87,66,4.12,RU,1627077760
Broome,42.2506,-75.833,76.69,65,1,3.0,US,1627077531
Bathsheba,13.2167,-59.5167,81.36,80,18,13.65,BB,1627077761
Trincomalee,8.5711,81.2335,81.03,74,100,23.78,LK,1627077529
Karratha,-20.7377,116.8463,68.43,41,7,11.36,AU,1627077761
Kichmengskiy Gorodok,59.9816,45.7854,47.64,96,97,6.73,RU,1627077762
Ambilobe,-13.2,49.05,64.49,84,0,3.62,MG,1627077742
Kommunisticheskiy,61.6789,64.4819,48.92,97,73,5.01,RU,1627077762
Dan Khun Thot,15.2085,101.7714,79.59,79,100,14.18,TH,1627077763
Berbera,10.4396,45.0143,86.32,56,83,13.85,SO,1627077763
Klaksvík,62.2266,-6.589,50.92,91,77,17.2,FO,1627077764
Aksha,50.2814,113.2867,57.85,79,8,5.21,RU,1627077764
Beisfjord,68.3751,17.5988,52.25,98,100,4.14,NO,1627077765
Morro Bay,35.3658,-120.8499,97.74,58,34,8.99,US,1627077765
Sayyan,15.1718,44.3244,59.23,77,100,2.64,YE,1627077765
Gizo Government Station,-8.103,156.8419,82.38,73,48,3.27,SB,1627077766
Salym,60.0625,71.4789,58.19,96,100,5.28,RU,1627077766
Sangar,63.9242,127.4739,66.43,71,100,1.14,RU,1627077767
Zhuhai,22.2769,113.5678,86.11,89,20,3.44,CN,1627077767
Artesia,33.8658,-118.0831,105.39,61,1,7.0,US,1627077646
Chadan,51.2833,91.5833,60.53,92,99,2.44,RU,1627077768
Dunedin,-45.8742,170.5036,52.81,64,25,1.99,NZ,1627077769
Honningsvåg,70.9821,25.9704,45.5,85,100,32.75,NO,1627077769
Gazli,40.1333,63.45,87.21,13,0,9.62,UZ,1627077770
Itarema,-2.9248,-39.9167,78.98,77,13,16.02,BR,1627077770
Gornoye Loo,43.7129,39.6049,69.58,83,2,6.44,RU,1627077770
Eldorado,-23.7869,-54.2836,66.07,64,0,6.82,BR,1627077771
Bahir Dar,11.5936,37.3908,60.51,95,100,4.65,ET,1627077616
Peniche,39.3558,-9.3811,67.62,88,68,9.6,PT,1627077772
Xifeng,42.7372,124.7222,74.39,82,54,3.15,CN,1627077772
Adana Province,36.985,35.2881,81.12,86,20,0.0,TR,1627077684
Moindou,-21.6924,165.677,66.15,75,32,1.5,NC,1627077773
Bonthe,7.5264,-12.505,74.86,95,100,14.74,SL,1627077773
Kudahuvadhoo,2.6708,72.8944,81.39,78,96,7.92,MV,1627077774
Bambari,5.768,20.6757,70.75,95,92,3.89,CF,1627077774
Taku,39.0211,117.6469,76.96,81,10,0.85,CN,1627077775
Coquimbo,-29.9533,-71.3436,52.59,84,19,3.36,CL,1627077775
Qaryat Sulūq,31.6682,20.2521,77.58,65,0,12.26,LY,1627077776
Markova,48.6758,24.4138,58.26,89,55,3.58,UA,1627077777
Terrace Bay,48.7834,-87.1,64.15,77,81,8.9,CA,1627077777
Lelydorp,5.7,-55.2333,79.07,90,100,3.51,SR,1627077778
North Bend,43.4065,-124.2243,88.95,69,0,1.99,US,1627077778
Serebryansk,49.6925,83.2892,60.66,90,73,0.96,KZ,1627077778
College,64.8569,-147.8028,74.28,73,90,3.44,US,1627077584
Aksu,41.1231,80.2644,76.71,51,0,5.28,CN,1627077484
Saldanha,-33.0117,17.9442,50.29,66,0,9.93,ZA,1627077779
Nemuro,43.3236,145.575,62.74,91,93,10.33,JP,1627077770
Padang,-0.9492,100.3543,77.0,83,100,3.65,ID,1627077671
St. George's,12.0564,-61.7485,83.88,79,20,13.8,GD,1627077526
Olovyannaya,50.95,115.5667,59.65,70,2,8.21,RU,1627077780
Tótkomlós,46.4167,20.7333,68.14,48,75,5.86,HU,1627077780
Terra Santa,-2.1042,-56.4869,82.53,53,50,3.24,BR,1627077781
Ayorou,14.7308,0.9174,91.96,44,37,8.72,NE,1627077781
Chivay,-15.6383,-71.6011,51.78,36,93,8.61,PE,1627077782
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,74.84,28,0,7.14,AR,1627077782
Dauriya,49.9333,116.8667,62.82,68,76,7.05,RU,1627077783
Safi,32.2994,-9.2372,71.98,75,77,22.82,MA,1627077783
Portknockie,57.7025,-2.8599,57.85,92,100,5.19,GB,1627077783
Grand Gaube,-20.0064,57.6608,72.63,69,45,15.35,MU,1627077784
Faya,18.3851,42.4509,65.77,65,94,1.92,SA,1627077784
Namatanai,-3.6667,152.4333,81.34,78,50,7.78,PG,1627077785
Luba,3.4568,8.5547,76.37,88,99,6.4,GQ,1627077785
Carauari,-4.8828,-66.8958,84.99,55,90,1.03,BR,1627077743
Atwater,37.3477,-120.6091,104.72,15,1,0.0,US,1627077786
Ostrovnoy,68.0531,39.5131,42.51,95,100,25.61,RU,1627077786
San Rafael del Sur,11.8485,-86.4384,88.97,49,94,13.51,NI,1627077787
Gold Coast,-28.0,153.4333,59.2,95,18,6.91,AU,1627077787
Waingapu,-9.6567,120.2641,70.25,75,0,6.08,ID,1627077787
Caranavi,-15.8167,-67.55,67.69,71,7,2.28,BO,1627077788
Gorin,51.1983,136.6669,78.51,83,71,4.83,RU,1627077788
Bilibino,68.0546,166.4372,59.77,66,81,6.8,RU,1627077789
Dauphin,51.1494,-100.0502,85.33,16,14,14.12,CA,1627077789
Kargasok,59.0556,80.8572,61.77,67,0,6.87,RU,1627077790
Papara,-3.9839,-38.7273,79.2,83,19,4.7,BR,1627077790
Houston,29.7633,-95.3633,98.11,57,20,5.01,US,1627077141
Macieira de Cambra,40.8594,-8.3734,61.2,93,2,3.0,PT,1627077791
Susanville,40.4163,-120.653,94.82,12,1,3.0,US,1627077599
Novikovo,51.1537,37.8879,63.7,66,29,6.13,RU,1627077791
Rūdbār,30.15,62.6,89.67,14,3,3.53,AF,1627077792
Port Lincoln,-34.7333,135.8667,52.83,66,34,23.94,AU,1627077624
Rio Grande,-32.035,-52.0986,60.93,80,2,6.64,BR,1627077614
Mauganj,24.6833,81.8833,81.23,82,97,11.23,IN,1627077793
Beloha,-25.1667,45.05,62.74,68,55,8.1,MG,1627077793
Franklin,39.9667,-83.0166,82.58,62,69,2.04,US,1627077613
Mwinilunga,-11.7358,24.4293,60.04,46,100,4.14,ZM,1627077734
Storforshei,66.4043,14.5233,50.67,99,100,3.65,NO,1627077794
Zhaotong,27.3167,103.7167,62.13,96,100,1.19,CN,1627077794
Abnūb,27.2696,31.1511,86.56,24,0,11.12,EG,1627077795
Kayan,16.9056,96.5631,77.14,89,100,9.22,MM,1627077795
Jiaozuo,35.2397,113.2331,73.27,92,87,3.02,CN,1627077796
Cândido Mendes,-1.4467,-45.7167,75.47,89,26,4.38,BR,1627077796
Katsuura,35.1333,140.3,84.11,80,0,2.59,JP,1627077674
Xining,36.6167,101.7667,61.09,74,25,2.53,CN,1627077797
Barhi,23.9,80.8,79.92,84,99,4.97,IN,1627077797
Puerto Ayora,-0.7393,-90.3518,74.55,81,98,5.99,EC,1627077798
Moerai,-22.4333,-151.3333,71.62,66,100,8.1,PF,1627077798
Shahr-e Bābak,30.1165,55.1186,80.31,29,21,4.34,IR,1627077799
Pokhara,28.2333,83.9833,73.53,92,99,2.39,NP,1627077782
Marmaris,36.855,28.2742,82.38,49,0,6.17,TR,1627077799
Acarí,-15.4311,-74.6158,66.47,73,15,6.13,PE,1627077800
Manzhouli,49.6,117.4333,64.85,65,66,6.93,CN,1627077800
Progreso,21.2833,-89.6667,92.1,71,57,16.75,MX,1627077801
Mareeba,-17.0,145.4333,62.44,97,37,2.33,AU,1627077801
Panjāb,34.388,67.0233,56.34,52,67,1.63,AF,1627077801
Xinyu,27.8043,114.9334,74.59,93,3,4.7,CN,1627077802
Souillac,-20.5167,57.5167,69.4,74,34,8.46,MU,1627077802
Kanniyākumāri,8.0833,77.5667,79.9,78,100,19.66,IN,1627077803
Warman,52.3168,-106.5679,84.85,13,1,25.21,CA,1627077803
Vila,42.0304,-8.1588,54.48,96,5,2.77,PT,1627077555
Katherine,-14.4667,132.2667,59.32,72,7,4.61,AU,1627077805
Kondinskoye,59.6481,67.41,59.34,77,100,0.6,RU,1627077805
Botou,38.0667,116.5667,76.78,82,77,3.04,CN,1627077806
Kumul,42.8,93.45,86.13,41,100,18.19,CN,1627077590
Araguaçu,-12.9306,-49.8264,79.56,36,39,5.3,BR,1627077806
Caravelas,-17.7125,-39.2481,68.38,83,100,7.25,BR,1627077807
Ankazoabo,-22.2833,44.5167,59.74,66,12,17.81,MG,1627077807
Sesheke,-17.4759,24.2968,51.28,31,65,5.23,ZM,1627077808
Angoche,-16.2325,39.9086,73.85,63,53,19.46,MZ,1627077808
Valverde del Camino,37.5751,-6.7543,81.18,31,0,8.32,ES,1627077808
Malanje,-9.5402,16.341,65.66,23,54,3.58,AO,1627077809
Kununurra,-15.7667,128.7333,58.98,88,74,0.0,AU,1627077523
Poço Verde,-10.7083,-38.1833,67.23,89,56,7.25,BR,1627077809
Rognan,67.0953,15.3878,51.94,94,100,2.66,NO,1627077810
Benguela,-12.5763,13.4055,68.74,90,18,3.69,AO,1627077810
Laas,46.6166,10.7002,65.14,78,27,2.17,IT,1627077811
Camocim,-2.9022,-40.8411,79.79,73,15,15.17,BR,1627077811
Ocean City,39.2776,-74.5746,82.65,70,35,7.2,US,1627077812
Raymond,43.9015,-70.4703,73.58,76,82,3.87,US,1627077804
Mayor Pablo Lagerenza,-19.9309,-60.7718,85.59,23,0,6.91,PY,1627077812
Sanger,36.708,-119.556,106.09,18,1,5.75,US,1627077813
Vila Velha,-20.3297,-40.2925,68.92,63,0,3.44,BR,1627077813
Khor,47.8861,134.9464,82.18,67,84,5.17,RU,1627077813
Pisco,-13.7,-76.2167,63.01,82,4,6.73,PE,1627077814
Ust'-Tarka,55.5672,75.705,63.79,63,1,4.5,RU,1627077814
Norman Wells,65.282,-126.8329,61.07,65,93,10.22,CA,1627077815
Rio Pomba,-21.2747,-43.1792,64.74,67,0,2.15,BR,1627077815
Eyl,7.9803,49.8164,78.15,70,36,27.58,SO,1627077676
Meïganga,6.5167,14.3,63.81,98,91,4.16,CM,1627077815
Namie,37.4833,141.0,79.99,81,22,1.05,JP,1627077816
Bon Accord,53.8335,-113.4187,79.88,36,20,16.11,CA,1627077566
Banjarmasin,-3.3244,114.591,73.54,95,99,3.96,ID,1627077691
Barabai,-2.5833,115.3833,73.26,98,97,2.04,ID,1627077817
Kutum,14.2,24.6667,73.6,66,54,10.45,SD,1627077576
Līsakovsk,52.5369,62.4936,69.58,86,100,4.47,KZ,1627077817
Altamira,-3.2033,-52.2064,79.59,53,36,2.66,BR,1627077818
Maniitsoq,65.4167,-52.9,41.31,96,100,22.03,GL,1627077818
Yazd,31.8972,54.3675,90.61,14,2,5.86,IR,1627077819
Kuching,1.55,110.3333,75.42,94,20,0.0,MY,1627077819
Viedma,-40.8135,-62.9967,48.29,51,90,8.57,AR,1627077572
Kaitangata,-46.2817,169.8464,45.93,73,39,3.18,NZ,1627077648
Rudnogorsk,57.2639,103.7519,55.2,89,58,1.07,RU,1627077820
Bam,29.106,58.357,91.99,12,5,6.96,IR,1627077821
Kolda,12.8833,-14.95,77.5,69,41,4.54,SN,1627077821
Iberia,29.9502,-91.7507,91.47,66,1,4.61,US,1627077822
Dunmore Town,25.5,-76.65,82.47,74,94,6.31,BS,1627077822
Ballina,-28.8667,153.5667,58.78,85,6,8.88,AU,1627077823
Isabela,6.7085,121.9711,78.69,89,87,3.69,PH,1627077823
Bitung,1.4451,125.1824,76.05,82,69,14.83,ID,1627077823
Buin,-33.7333,-70.75,62.74,57,2,4.72,CL,1627077824
Saurimo,-9.6608,20.3916,61.65,33,1,6.06,AO,1627077824
Jalu,29.0331,21.5482,81.05,54,0,15.37,LY,1627077825
Itoman,26.1247,127.6694,80.62,94,75,29.93,JP,1627077825
Nuuk,64.1835,-51.7216,45.21,81,90,33.38,GL,1627077826
Gao,16.6362,1.637,92.12,41,36,9.37,ML,1627077703
Yushala,57.0761,64.2601,60.55,80,100,3.91,RU,1627077826
Olafsvik,64.8945,-23.7142,52.14,97,100,11.25,IS,1627077827
Fayetteville,35.0527,-78.8784,88.63,54,1,5.01,US,1627077812
Zuwārah,32.9312,12.082,79.38,70,0,12.12,LY,1627077827
San Mateo del Mar,16.2,-95.0,88.39,60,8,31.0,MX,1627077828
Aborlan,9.4352,118.5492,79.5,78,100,7.18,PH,1627077828
Beyneu,45.3167,55.2,86.79,33,100,6.71,KZ,1627077829
Madimba,-10.4,40.3333,71.35,85,9,11.79,TZ,1627077829
Fare,-16.7,-151.0167,77.88,67,9,13.15,PF,1627077830
Bolobo,-2.1667,16.2333,76.46,46,76,3.15,CD,1627077830
Salalah,17.0151,54.0924,77.4,95,100,11.43,OM,1627077830
Sioux Lookout,50.1001,-91.917,92.35,34,80,9.33,CA,1627077831
Agüimes,27.9054,-15.4461,70.66,68,20,25.32,ES,1627077831
Daru,-9.0763,143.2092,76.87,84,100,8.21,PG,1627077832
Longkou,37.6508,120.3286,76.73,77,94,5.46,CN,1627077832
Vilhena,-12.7406,-60.1458,76.84,38,0,3.76,BR,1627077833
Mgandu,-5.95,34.1333,60.66,55,5,11.25,TZ,1627077833
Lampazos de Naranjo,27.0167,-100.5167,101.39,27,6,10.45,MX,1627077834
Três Passos,-27.4556,-53.9319,62.33,59,0,5.64,BR,1627077766
Gijón,43.5357,-5.6615,64.99,84,4,1.99,ES,1627077666
Lingao,19.9103,109.6859,78.96,86,16,5.97,CN,1627077834
Funadhoo,6.15,73.2667,82.15,77,96,13.56,MV,1627077835
Mykolayivka,47.5414,30.7561,64.24,68,0,6.22,UA,1627077835
Rosetown,51.5501,-108.0014,81.99,17,0,18.14,CA,1627077836
Cockburn Town,21.4612,-71.1419,81.79,83,16,18.45,TC,1627077836
Leh,34.1667,77.5833,63.66,54,17,4.45,IN,1627077837
Mananjary,-21.2167,48.3333,64.54,89,32,3.91,MG,1627077837
West Wendover,40.7391,-114.0733,94.21,23,1,6.91,US,1627077838
Tuatapere,-46.1333,167.6833,45.82,83,54,5.53,NZ,1627077838
Asău,46.4333,26.4,63.75,91,24,3.09,RO,1627077564
Pastavy,55.1168,26.8326,55.9,88,40,6.62,BY,1627077839
San Matías,-16.3667,-58.4,84.65,25,0,5.01,BO,1627077839
Ajdabiya,30.7554,20.2263,79.99,54,0,14.54,LY,1627077839
Thunder Bay,48.4001,-89.3168,76.55,70,58,1.01,CA,1627077613
Camacha,33.0833,-16.3333,70.54,78,20,13.8,PT,1627077840
Zhob,31.3411,69.4481,79.29,49,93,1.03,PK,1627077679
Mazatlán,23.2167,-106.4167,93.02,77,8,5.01,MX,1627077692
Turaif,31.6725,38.6637,77.99,48,0,14.43,SA,1627077696
Kuah,6.3265,99.8432,83.68,74,100,6.13,MY,1627077841
Grand-Lahou,5.1367,-5.0242,74.55,85,27,7.87,CI,1627077841
Sehithwa,-20.4667,22.7167,45.39,21,0,7.11,BW,1627077842
Crossville,35.949,-85.0269,85.93,57,75,1.99,US,1627077843
Aksarka,66.5606,67.7975,45.09,86,48,8.28,RU,1627077843
Flinders,-34.5833,150.8552,51.39,90,96,7.99,AU,1627077843
Kiryat Gat,31.61,34.7642,79.79,100,44,10.2,IL,1627077844
Cravo Norte,6.3017,-70.2041,78.33,83,99,5.64,CO,1627077844
Sibolga,1.7427,98.7792,76.32,81,97,3.51,ID,1627077845
Terråk,65.087,12.3715,51.67,95,100,1.16,NO,1627077845
Daniel Flores,9.3355,-83.6694,74.77,94,100,0.83,CR,1627077846
Samsun Province,41.25,36.3333,72.36,68,40,11.5,TR,1627077846
Avilés,43.5547,-5.9248,64.92,86,20,1.99,ES,1627077563
Adrar,20.5022,-10.0711,94.21,17,15,10.65,MR,1627077847
Domoni,-12.2569,44.5319,75.81,74,3,13.15,KM,1627077847
Winnemucca,40.973,-117.7357,96.85,9,1,8.05,US,1627077848
Oranjestad,12.524,-70.027,80.82,86,6,24.02,AW,1627077651
Brookings,44.3114,-96.7984,91.69,29,82,13.71,US,1627077683
Pangoa,-12.1167,-73.0,77.43,65,12,2.08,PE,1627077849
Betlitsa,54.0095,33.9588,57.99,85,58,3.8,RU,1627077849
Krasnaya Gora,52.9995,31.6023,63.57,69,83,5.19,RU,1627077850
Aragarças,-15.8975,-52.2508,78.28,31,10,5.95,BR,1627077851
Vanimo,-2.6741,141.3028,77.68,88,100,3.56,PG,1627077851
Mitú,1.1983,-70.1733,76.42,97,66,1.77,CO,1627077852
Konstantinovka,49.6167,127.9833,79.07,59,38,13.87,RU,1627077852
Deputatsky,69.3,139.9,55.51,61,78,4.79,RU,1627077853
Tongliao,43.6125,122.2653,75.78,69,50,13.15,CN,1627077853
San Francisco,37.7749,-122.4194,101.37,67,19,3.0,US,1627077493
Los Llanos de Aridane,28.6585,-17.9182,69.55,90,0,17.27,ES,1627077580
Tete,-16.1564,33.5867,67.57,66,66,11.99,MZ,1627077671
Green River,41.5286,-109.4662,90.0,29,73,3.0,US,1627077839
Sept-Îles,50.2001,-66.3821,59.25,84,100,3.65,CA,1627077854
Vrede,-27.4257,29.1659,31.15,39,0,5.84,ZA,1627077855
Houma,29.5958,-90.7195,95.0,67,40,11.5,US,1627077855
Oktyabr'skoye,43.0645,44.7417,62.74,100,100,6.71,RU,1627077855
Bridgewater,44.3835,-64.5155,76.26,94,75,2.3,CA,1627077584
Dongsheng,39.8161,109.9776,67.44,76,14,9.6,CN,1627077856
